ELEM_KOD;TELEP_NEV;JARAS_NEV;MEGYE_NEV;REGIO_NEV;NAGYREGIO_NEV;VALUE
2941;Csaroda;Vásárosnaményi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;431.7
2052;Tass;Kunszentmiklósi;Bács-Kiskun;Dél-Alföld;Alföld és Észak;429.5
2054;Szalapa;Zalaszentgróti;Zala;Nyugat-Dunántúl;Dunántúl;425.8
1734;Kiscsécs;Tiszaújvárosi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;161.3
1735;Buzsák;Fonyódi;Somogy;Dél-Dunántúl;Dunántúl;533
3396;Rétalap;Győri;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;429.7
1720;Nyíregyháza;Nyíregyházi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;446.9
1724;Pogány;Pécsi;Baranya;Dél-Dunántúl;Dunántúl;510.3
1888;Salköveskút;Szombathelyi;Vas;Nyugat-Dunántúl;Dunántúl;546.1
2234;Kemence;Szobi;Pest;Pest;Közép-Magyarország;444.3
2239;Csönge;Celldömölki;Vas;Nyugat-Dunántúl;Dunántúl;456.7
3251;Pördefölde;Lenti;Zala;Nyugat-Dunántúl;Dunántúl;600
2086;Sárok;Mohácsi;Baranya;Dél-Dunántúl;Dunántúl;527.5
2244;Edve;Kapuvári;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;550
2250;Erdőhorváti;Sárospataki;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;424.5
2592;Nyírkércs;Baktalórántházai;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;445.9
2757;Kelebia;Kiskunhalasi;Bács-Kiskun;Dél-Alföld;Alföld és Észak;434.6
2090;Mike;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;408.2
2932;Nemeskér;Soproni;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;606.1
3104;Tépe;Derecskei;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;367.3
2103;Alsózsolca;Miskolci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;338.3
2106;Dunaegyháza;Kunszentmiklósi;Bács-Kiskun;Dél-Alföld;Alföld és Észak;462.7
3282;Bugac;Kiskunfélegyházi;Bács-Kiskun;Dél-Alföld;Alföld és Észak;566.6
2212;Fulókércs;Encsi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;108.3
2722;Kálmánháza;Nyíregyházi;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;436.3
1897;Fehérgyarmat;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;475.3
1902;Pusztakovácsi;Marcali;Somogy;Dél-Dunántúl;Dunántúl;368.9
2566;Galgaguta;Balassagyarmati;Nógrád;Észak-Magyarország;Alföld és Észak;445.7
1317;Csépa;Kunszentmártoni;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;336.9
1322;Mihálygerge;Salgótarjáni;Nógrád;Észak-Magyarország;Alföld és Észak;498
639;Bozzai;Szombathelyi;Vas;Nyugat-Dunántúl;Dunántúl;434.2
361;Malomsok;Pápai;Veszprém;Közép-Dunántúl;Dunántúl;508.4
288;Vasalja;Körmendi;Vas;Nyugat-Dunántúl;Dunántúl;654.9
2135;Szikszó;Szikszói;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;366.2
2296;Kacorlak;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;568.3
2163;Szirák;Pásztói;Nógrád;Észak-Magyarország;Alföld és Észak;304.7
2523;Filkeháza;Sátoraljaújhelyi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;350.6
2694;Sajókeresztúr;Miskolci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;420.3
2862;Répceszentgyörgy;Sárvári;Vas;Nyugat-Dunántúl;Dunántúl;609.4
2377;Pereszteg;Soproni;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;593.9
1687;Hugyag;Balassagyarmati;Nógrád;Észak-Magyarország;Alföld és Észak;289.4
1690;Tornabarakony;Edelényi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;541.7
3055;Környe;Tatabányai;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;519.5
3147;Nyírjákó;Baktalórántházai;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;443.8
1855;Olasz;Bólyi;Baranya;Dél-Dunántúl;Dunántúl;522.4
2025;Csehbánya;Ajkai;Veszprém;Közép-Dunántúl;Dunántúl;1,614.8
3179;Tápiószecső;Nagykátai;Pest;Pest;Közép-Magyarország;432.9
3193;Illocska;Siklósi;Baranya;Dél-Dunántúl;Dunántúl;288.8
2012;Tata;Tatai;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;459.1
2174;Tarcal;Tokaji;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;424.3
2178;Pázmánd;Gárdonyi;Fejér;Közép-Dunántúl;Dunántúl;533.4
2697;Nagyhódos;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;546.3
3273;Attala;Dombóvári;Tolna;Dél-Dunántúl;Dunántúl;547.4
3321;Kisnyárád;Mohácsi;Baranya;Dél-Dunántúl;Dunántúl;487
1679;Borsodszirák;Edelényi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;337.8
1845;Harta;Kalocsai;Bács-Kiskun;Dél-Alföld;Alföld és Észak;490.6
1868;Penc;Váci;Pest;Pest;Közép-Magyarország;450.3
1361;Drávagárdony;Barcsi;Somogy;Dél-Dunántúl;Dunántúl;266.7
2653;Böhönye;Marcali;Somogy;Dél-Dunántúl;Dunántúl;403.3
2819;Szuha;Bátonyterenyei;Nógrád;Észak-Magyarország;Alföld és Észak;516.4
1102;Zsujta;Gönci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;255.1
1340;Ballószög;Kecskeméti;Bács-Kiskun;Dél-Alföld;Alföld és Észak;504.2
3301;Szécsényfelfalu;Szécsényi;Nógrád;Észak-Magyarország;Alföld és Észak;440.2
3305;Zics;Tabi;Somogy;Dél-Dunántúl;Dunántúl;424.3
1489;Tomor;Edelényi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;337.9
1657;Imola;Putnoki;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;402.6
1467;Darvas;Berettyóújfalui;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;418.3
1470;Kissikátor;Ózdi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;435.7
2003;Gétye;Keszthelyi;Zala;Nyugat-Dunántúl;Dunántúl;704.1
1546;Nagyhuta;Sátoraljaújhelyi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;380.3
1714;Kenderes;Karcagi;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;345
614;Patalom;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;343.5
617;Eszteregnye;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;495.2
3331;Felsőtold;Pásztói;Nógrád;Észak-Magyarország;Alföld és Észak;653.5
3355;Herceghalom;Budakeszi;Pest;Pest;Közép-Magyarország;438.2
1237;Pamlény;Szikszói;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;310.3
1290;Köröstarcsa;Békési;Békés;Dél-Alföld;Alföld és Észak;434.2
1435;Kékcse;Kisvárdai;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;325.9
1475;Noszlop;Devecseri;Veszprém;Közép-Dunántúl;Dunántúl;483.6
1883;Kisdombegyház;Mezőkovácsházai;Békés;Dél-Alföld;Alföld és Észak;273.5
2153;Uraiújfalu;Sárvári;Vas;Nyugat-Dunántúl;Dunántúl;518.2
1292;Csaholc;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;274.7
1314;Jéke;Kisvárdai;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;497.1
737;Balatonkeresztúr;Marcali;Somogy;Dél-Dunántúl;Dunántúl;585.9
289;Söréd;Móri;Fejér;Közép-Dunántúl;Dunántúl;491
318;Iborfia;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;1
319;Rábahídvég;Vasvári;Vas;Nyugat-Dunántúl;Dunántúl;460.3
2473;Pányok;Gönci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;300
2476;Ugod;Pápai;Veszprém;Közép-Dunántúl;Dunántúl;505.6
2644;Maglóca;Csornai;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;533.8
2167;Sajókápolna;Miskolci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;446.6
2168;Nagyiván;Tiszafüredi;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;357.1
2838;Kazár;Salgótarjáni;Nógrád;Észak-Magyarország;Alföld és Észak;382
2186;Darnózseli;Mosonmagyaróvári;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;530
1873;Pilisszentkereszt;Szentendrei;Pest;Pest;Közép-Magyarország;490.5
750;Lajoskomárom;Enyingi;Fejér;Közép-Dunántúl;Dunántúl;510.9
426;Mezőtúr;Mezőtúri;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;384.3
1285;Nagyhajmás;Hegyháti;Baranya;Dél-Dunántúl;Dunántúl;416
3367;Mosonszentmiklós;Győri;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;517.7
1520;Békéscsaba;Békéscsabai;Békés;Dél-Alföld;Alföld és Észak;462
2880;Nyírbogdány;Kemecsei;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;386.1
1692;Pusztaapáti;Lenti;Zala;Nyugat-Dunántúl;Dunántúl;476.2
1694;Mátyásdomb;Enyingi;Fejér;Közép-Dunántúl;Dunántúl;405.8
3151;Szegilong;Tokaji;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;464.6
2192;Kápolnásnyék;Gárdonyi;Fejér;Közép-Dunántúl;Dunántúl;501.8
3217;Kál;Füzesabonyi;Heves;Észak-Magyarország;Alföld és Észak;325
3227;Devecser;Devecseri;Veszprém;Közép-Dunántúl;Dunántúl;429.8
3248;Szegvár;Szentesi;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;420.2
2847;Kisléta;Nyírbátori;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;326.1
3187;Mesterháza;Sárvári;Vas;Nyugat-Dunántúl;Dunántúl;618.4
3191;Kunpeszér;Kunszentmiklósi;Bács-Kiskun;Dél-Alföld;Alföld és Észak;547.7
1430;Závod;Bonyhádi;Tolna;Dél-Dunántúl;Dunántúl;469
1623;Tiszaderzs;Tiszafüredi;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;333
1799;Rábatöttös;Szombathelyi;Vas;Nyugat-Dunántúl;Dunántúl;560.4
1659;Oroszi;Devecseri;Veszprém;Közép-Dunántúl;Dunántúl;384.1
1975;Nyalka;Pannonhalmi;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;519.7
2310;Pankasz;Körmendi;Vas;Nyugat-Dunántúl;Dunántúl;502.7
2009;Törökkoppány;Tabi;Somogy;Dél-Dunántúl;Dunántúl;372.5
1343;Nagykáta;Nagykátai;Pest;Pest;Közép-Magyarország;447.6
226;Vásárosdombó;Hegyháti;Baranya;Dél-Dunántúl;Dunántúl;410.5
2987;Torony;Szombathelyi;Vas;Nyugat-Dunántúl;Dunántúl;575.9
3324;Hollókő;Szécsényi;Nógrád;Észak-Magyarország;Alföld és Észak;477.3
2966;Alsónána;Szekszárdi;Tolna;Dél-Dunántúl;Dunántúl;435.4
2155;Mindszent;Hódmezővásárhelyi;Csongrád-Csanád;Dél-Alföld;Alföld és Észak;372.4
2160;Pápasalamon;Pápai;Veszprém;Közép-Dunántúl;Dunántúl;431.9
2320;Siklósbodony;Siklósi;Baranya;Dél-Dunántúl;Dunántúl;321.9
729;Bögöte;Sárvári;Vas;Nyugat-Dunántúl;Dunántúl;486.8
3356;Apaj;Ráckevei;Pest;Pest;Közép-Magyarország;465.7
3364;Csém;Komáromi;Komárom-Esztergom;Közép-Dunántúl;Dunántúl;507.4
235;Újkígyós;Békéscsabai;Békés;Dél-Alföld;Alföld és Észak;422.4
236;Nagybajcs;Győri;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;499.2
331;Ártánd;Berettyóújfalui;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;289.1
1446;Tabajd;Bicskei;Fejér;Közép-Dunántúl;Dunántúl;454.3
1291;Vonyarcvashegy;Keszthelyi;Zala;Nyugat-Dunántúl;Dunántúl;596.5
490;Pócsmegyer;Szentendrei;Pest;Pest;Közép-Magyarország;577.4
2188;Szeghalom;Szeghalmi;Békés;Dél-Alföld;Alföld és Észak;404.7
2350;Piskó;Sellyei;Baranya;Dél-Dunántúl;Dunántúl;233.6
2202;Fonó;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;513.4
2210;Jászárokszállás;Jászberényi;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;423.3
857;Kétújfalu;Szigetvári;Baranya;Dél-Dunántúl;Dunántúl;431.5
1202;Csólyospálos;Kiskunmajsai;Bács-Kiskun;Dél-Alföld;Alföld és Észak;603.7
1332;Almamellék;Szigetvári;Baranya;Dél-Dunántúl;Dunántúl;453.1
521;Nagygörbő;Zalaszentgróti;Zala;Nyugat-Dunántúl;Dunántúl;362.2
2812;Drávacsepely;Siklósi;Baranya;Dél-Dunántúl;Dunántúl;533.7
2980;Bezenye;Mosonmagyaróvári;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;395.8
3181;Dánszentmiklós;Ceglédi;Pest;Pest;Közép-Magyarország;500.8
1394;Hévízgyörk;Aszódi;Pest;Pest;Közép-Magyarország;493.7
2353;Felsővadász;Szikszói;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;148.7
2357;Jászfelsőszentgyörgy;Jászberényi;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;346.9
2376;Palé;Hegyháti;Baranya;Dél-Dunántúl;Dunántúl;412.5
1695;Tornyospálca;Kisvárdai;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;402.5
3156;Mónosbél;Bélapátfalvai;Heves;Észak-Magyarország;Alföld és Észak;336.7
3167;Felsőtelekes;Kazincbarcikai;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;311.7
2370;Kiscsősz;Devecseri;Veszprém;Közép-Dunántúl;Dunántúl;417.4
2534;Sárkeresztúr;Sárbogárdi;Fejér;Közép-Dunántúl;Dunántúl;283.4
2537;Magyaregres;Kaposvári;Somogy;Dél-Dunántúl;Dunántúl;490.8
3256;Újszentmargita;Balmazújvárosi;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;359.1
1156;Alsónyék;Szekszárdi;Tolna;Dél-Dunántúl;Dunántúl;435
3357;Pörböly;Szekszárdi;Tolna;Dél-Dunántúl;Dunántúl;476.9
1509;Baktüttös;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;473.7
1677;Székelyszabar;Mohácsi;Baranya;Dél-Dunántúl;Dunántúl;435
1434;Pilisvörösvár;Pilisvörösvári;Pest;Pest;Közép-Magyarország;443.8
1436;Bosta;Pécsi;Baranya;Dél-Dunántúl;Dunántúl;300
983;Szemere;Encsi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;176.6
405;Pécel;Gödöllői;Pest;Pest;Közép-Magyarország;464.5
359;Abaújszántó;Gönci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;395.7
2134;Kajászó;Martonvásári;Fejér;Közép-Dunántúl;Dunántúl;475.4
1663;Sajópetri;Miskolci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;358.6
1829;Nyírkarász;Kisvárdai;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;363
1686;Zsebeháza;Csornai;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;587.3
3051;Tornaszentjakab;Edelényi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;245.2
3144;Fertőszéplak;Soproni;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;559.3
3315;Bóly;Bólyi;Baranya;Dél-Dunántúl;Dunántúl;486.4
1502;Páty;Budakeszi;Pest;Pest;Közép-Magyarország;441.8
1836;Becsvölgye;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;575.6
1841;Várbalog;Mosonmagyaróvári;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;440
1842;Keszthely;Keszthelyi;Zala;Nyugat-Dunántúl;Dunántúl;513.3
2312;Szentgyörgyvár;Keszthelyi;Zala;Nyugat-Dunántúl;Dunántúl;576.8
2649;Zirc;Zirci;Veszprém;Közép-Dunántúl;Dunántúl;465.1
1449;Ózd;Ózdi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;341
1540;Szulimán;Szigetvári;Baranya;Dél-Dunántúl;Dunántúl;509
1376;Telkibánya;Gönci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;439.9
1647;Balatonújlak;Marcali;Somogy;Dél-Dunántúl;Dunántúl;513.1
1981;Kétpó;Mezőtúri;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;406.4
2971;Rakaca;Edelényi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;110.2
2660;Köröm;Miskolci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;150
2827;Endrőc;Szigetvári;Baranya;Dél-Dunántúl;Dunántúl;347.1
3000;Vajdácska;Sárospataki;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;391
730;Adásztevel;Pápai;Veszprém;Közép-Dunántúl;Dunántúl;428.2
851;Sopron;Soproni;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;469.9
852;Sirok;Pétervásárai;Heves;Észak-Magyarország;Alföld és Észak;422.2
854;Őrbottyán;Váci;Pest;Pest;Közép-Magyarország;500.2
3384;Balatonrendes;Tapolcai;Veszprém;Közép-Dunántúl;Dunántúl;684.2
1218;Pátroha;Kisvárdai;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;296.5
1372;Gacsály;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;253.1
1400;Nyíracsád;Nyíradonyi;Hajdú-Bihar;Észak-Alföld;Alföld és Észak;380.8
1401;Őrtilos;Csurgói;Somogy;Dél-Dunántúl;Dunántúl;482
237;Rád;Váci;Pest;Pest;Közép-Magyarország;480.1
1493;Bodony;Pétervásárai;Heves;Észak-Magyarország;Alföld és Észak;396.1
600;Zamárdi;Siófoki;Somogy;Dél-Dunántúl;Dunántúl;541
725;Hosztót;Sümegi;Veszprém;Közép-Dunántúl;Dunántúl;628.6
1071;Bácsalmás;Bácsalmási;Bács-Kiskun;Dél-Alföld;Alföld és Észak;444.1
499;Garbolc;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;241.9
1824;Taktaharkány;Szerencsi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;295.9
1825;Bodajk;Móri;Fejér;Közép-Dunántúl;Dunántúl;449.9
1515;Zsana;Kiskunhalasi;Bács-Kiskun;Dél-Alföld;Alföld és Észak;585.8
1790;Hegyeshalom;Mosonmagyaróvári;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;496.3
329;Molnaszecsőd;Körmendi;Vas;Nyugat-Dunántúl;Dunántúl;613
334;Ivándárda;Mohácsi;Baranya;Dél-Dunántúl;Dunántúl;480.7
701;Páprád;Sellyei;Baranya;Dél-Dunántúl;Dunántúl;446
722;Vadna;Kazincbarcikai;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;488.6
2396;Teleki;Siófoki;Somogy;Dél-Dunántúl;Dunántúl;390.4
2808;Gyöngyöstarján;Gyöngyösi;Heves;Észak-Magyarország;Alföld és Észak;530.1
2842;Nemesvita;Tapolcai;Veszprém;Közép-Dunántúl;Dunántúl;524.9
3339;Kapoly;Tabi;Somogy;Dél-Dunántúl;Dunántúl;468.9
3340;Kishartyán;Salgótarjáni;Nógrád;Észak-Magyarország;Alföld és Észak;546.4
1737;Aba;Székesfehérvári;Fejér;Közép-Dunántúl;Dunántúl;434.9
3397;Csörnyeföld;Letenyei;Zala;Nyugat-Dunántúl;Dunántúl;429.8
3415;Kistarcsa;Gödöllői;Pest;Pest;Közép-Magyarország;467.8
2082;Zánka;Balatonfüredi;Veszprém;Közép-Dunántúl;Dunántúl;632.7
2105;Pókaszepetk;Zalaegerszegi;Zala;Nyugat-Dunántúl;Dunántúl;561.7
429;Kacsóta;Szentlőrinci;Baranya;Dél-Dunántúl;Dunántúl;377.2
430;Püspökszilágy;Váci;Pest;Pest;Közép-Magyarország;509.5
2965;Pat;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;437.8
883;Háromfa;Nagyatádi;Somogy;Dél-Dunántúl;Dunántúl;339.2
885;Karancskeszi;Salgótarjáni;Nógrád;Észak-Magyarország;Alföld és Észak;398.8
2485;Romonya;Pécsi;Baranya;Dél-Dunántúl;Dunántúl;590.5
2530;Balatonakali;Balatonfüredi;Veszprém;Közép-Dunántúl;Dunántúl;552.6
997;Délegyháza;Szigetszentmiklósi;Pest;Pest;Közép-Magyarország;502.8
2995;Káld;Sárvári;Vas;Nyugat-Dunántúl;Dunántúl;504.7
1777;Pusztavám;Móri;Fejér;Közép-Dunántúl;Dunántúl;474.1
1943;Mezőkövesd;Mezőkövesdi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;426.7
1812;Bolhó;Barcsi;Somogy;Dél-Dunántúl;Dunántúl;342.8
1581;Jászboldogháza;Jászberényi;Jász-Nagykun-Szolnok;Észak-Alföld;Alföld és Észak;467.8
1611;Pellérd;Pécsi;Baranya;Dél-Dunántúl;Dunántúl;520.1
1831;Gyód;Pécsi;Baranya;Dél-Dunántúl;Dunántúl;508.9
1848;Mór;Móri;Fejér;Közép-Dunántúl;Dunántúl;462.5
1856;Zalaszentbalázs;Nagykanizsai;Zala;Nyugat-Dunántúl;Dunántúl;477.7
2204;Ólmod;Kőszegi;Vas;Nyugat-Dunántúl;Dunántúl;647.6
2218;Hejce;Gönci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;511.4
513;Birján;Pécsi;Baranya;Dél-Dunántúl;Dunántúl;557.7
528;Örkény;Dabasi;Pest;Pest;Közép-Magyarország;395.4
558;Nagycsécs;Tiszaújvárosi;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;351.6
3018;Kolontár;Devecseri;Veszprém;Közép-Dunántúl;Dunántúl;503.7
3067;Fenyőfő;Pannonhalmi;Győr-Moson-Sopron;Nyugat-Dunántúl;Dunántúl;391.3
3123;Szatmárcseke;Fehérgyarmati;Szabolcs-Szatmár-Bereg;Észak-Alföld;Alföld és Észak;261.5
1076;Körösnagyharsány;Sarkadi;Békés;Dél-Alföld;Alföld és Észak;368.8
2789;Bükkaranyos;Miskolci;Borsod-Abaúj-Zemplén;Észak-Magyarország;Alföld és Észak;407.3
2960;Pilisborosjenő;Pilisvörösvári;Pest;Pest;Közép-Magyarország;462.2
2483;Nagytilaj;Vasvári;Vas;Nyugat-Dunántúl;Dunántúl;402.5
2651;Olaszfalu;Zirci;Veszprém;Közép-Dunántúl;Dunántúl;479.3
